transaction_id,buyer_id,supplier_id,drug_name,therapeutic_class,quantity,unit_price,country,transaction_date
27,58,13,Amoxicillin,Analgesics,226,21.97,Tanzania,2024-12-21
28,22,11,Amoxicillin,Diabetes,266,18.21,Tanzania,2024-10-09
29,89,2,Amoxicillin,Diabetes,99,6.18,Uganda,2024-07-21
30,49,9,Amoxicillin,Diabetes,459,17.79,Kenya,2024-11-20
31,91,26,Amoxicillin,Analgesics,11,8.04,Uganda,2024-11-08
32,59,2,Amoxicillin,Antibiotics,85,6.43,Uganda,2024-09-29
33,42,21,Paracetamol,Diabetes,405,2.29,Uganda,2024-08-31
34,92,9,Metformin,Diabetes,214,18.73,Uganda,2024-11-22
35,60,9,Ceftriaxone,Analgesics,173,17.92,Kenya,2024-02-16
36,80,8,Amoxicillin,Diabetes,391,6.25,Tanzania,2024-09-05
37,15,17,Paracetamol,Antibiotics,209,18.86,Uganda,2024-03-19
38,62,1,Paracetamol,Analgesics,448,22.99,Kenya,2024-04-19
39,62,25,Paracetamol,Antibiotics,382,3.15,Tanzania,2024-01-13
40,47,29,Metformin,Antibiotics,64,6.2,Tanzania,2024-12-30
41,62,11,Ceftriaxone,Analgesics,258,18.88,Tanzania,2024-03-30
42,51,8,Metformin,Diabetes,332,7.23,Uganda,2024-12-07
43,55,10,Insulin,Antibiotics,121,15.8,Uganda,2024-12-13
44,64,25,Paracetamol,Antibiotics,298,2.49,Tanzania,2024-10-06
45,3,7,Insulin,Antibiotics,466,11.58,Tanzania,2024-08-08
46,51,3,Amoxicillin,Antibiotics,54,18.61,Tanzania,2024-03-13
47,7,3,Amoxicillin,Analgesics,331,17.32,Tanzania,2024-08-21
48,21,18,Metformin,Analgesics,272,20.47,Tanzania,2024-09-16
49,73,5,Ceftriaxone,Antibiotics,241,22.0,Tanzania,2024-04-22
50,39,12,Insulin,Diabetes,243,19.44,Kenya,2024-02-15
51,18,12,Ceftriaxone,Antibiotics,18,16.95,Tanzania,2024-09-30
52,4,19,Metformin,Diabetes,483,1.28,Uganda,2024-02-12
53,89,30,Amoxicillin,Antibiotics,187,13.61,Uganda,2024-07-26
54,60,6,Ceftriaxone,Diabetes,346,1.42,Uganda,2024-12-14
55,14,2,Ceftriaxone,Antibiotics,144,20.3,Tanzania,2024-04-12
56,9,12,Amoxicillin,Diabetes,262,8.36,Uganda,2024-05-03
57,90,19,Insulin,Antibiotics,441,14.28,Kenya,2024-01-10
58,53,5,Amoxicillin,Antibiotics,364,7.35,Tanzania,2024-11-24
59,2,12,Ceftriaxone,Diabetes,491,19.67,Uganda,2024-07-05
60,84,27,Insulin,Analgesics,431,22.22,Kenya,2024-01-31
61,92,27,Insulin,Diabetes,239,10.27,Kenya,2024-06-04
62,60,17,Amoxicillin,Analgesics,304,21.64,Uganda,2024-02-29
63,71,29,Ceftriaxone,Antibiotics,298,7.04,Kenya,2024-09-05
64,44,17,Metformin,Diabetes,76,13.6,Uganda,2024-09-26
65,8,10,Ceftriaxone,Diabetes,188,21.54,Kenya,2024-08-04
66,47,25,Paracetamol,Diabetes,333,8.48,Tanzania,2024-01-02
67,35,23,Metformin,Analgesics,388,23.87,Tanzania,2024-01-24
68,78,17,Insulin,Analgesics,487,3.49,Tanzania,2024-07-24
69,81,15,Metformin,Antibiotics,246,0.95,Tanzania,2024-11-15
70,36,12,Insulin,Analgesics,130,22.65,Tanzania,2024-07-17
71,50,30,Insulin,Analgesics,474,2.18,Uganda,2024-12-21
72,4,16,Metformin,Antibiotics,315,24.8,Tanzania,2024-04-23
73,2,24,Insulin,Diabetes,411,23.81,Tanzania,2024-10-06
74,6,19,Insulin,Diabetes,283,3.86,Tanzania,2024-06-03
75,54,8,Paracetamol,Antibiotics,79,13.67,Tanzania,2024-06-13
76,4,21,Ceftriaxone,Diabetes,72,5.03,Kenya,2024-08-09
77,54,17,Ceftriaxone,Analgesics,263,10.99,Tanzania,2024-03-31
78,93,23,Paracetamol,Antibiotics,191,2.0,Tanzania,2024-06-15
79,63,5,Metformin,Antibiotics,367,5.99,Uganda,2024-07-25
80,18,22,Amoxicillin,Antibiotics,375,9.4,Kenya,2024-10-08
81,90,16,Amoxicillin,Diabetes,430,11.25,Uganda,2024-03-05
82,44,6,Amoxicillin,Antibiotics,63,24.45,Tanzania,2024-01-04
83,34,8,Paracetamol,Antibiotics,488,20.29,Uganda,2024-06-05
84,74,25,Paracetamol,Antibiotics,380,18.57,Uganda,2024-09-05
85,62,18,Insulin,Diabetes,12,13.66,Tanzania,2024-09-13
86,100,25,Amoxicillin,Analgesics,141,21.08,Kenya,2024-08-22
87,14,12,Metformin,Antibiotics,254,8.81,Kenya,2024-11-01
88,95,15,Metformin,Analgesics,43,17.87,Uganda,2024-03-14
89,48,27,Amoxicillin,Diabetes,17,24.85,Tanzania,2024-07-05
90,15,26,Amoxicillin,Diabetes,63,8.21,Uganda,2024-03-02
91,72,9,Amoxicillin,Diabetes,253,17.01,Uganda,2024-12-02
92,78,13,Paracetamol,Diabetes,465,21.19,Uganda,2024-06-12
93,87,26,Paracetamol,Analgesics,376,22.94,Tanzania,2024-02-25
94,62,15,Paracetamol,Antibiotics,292,18.09,Tanzania,2024-04-20
95,40,10,Ceftriaxone,Diabetes,469,7.45,Kenya,2024-08-05
96,85,16,Metformin,Diabetes,8,8.49,Tanzania,2024-08-27
97,80,7,Metformin,Analgesics,325,1.01,Uganda,2024-01-21
98,82,17,Insulin,Analgesics,90,19.14,Uganda,2024-05-20
99,53,23,Paracetamol,Diabetes,208,1.55,Kenya,2024-09-21
100,24,26,Ceftriaxone,Antibiotics,292,21.68,Tanzania,2024-05-18
101,26,21,Ceftriaxone,Antibiotics,284,3.41,Uganda,2024-03-10
102,89,22,Metformin,Diabetes,118,4.71,Kenya,2024-04-27
103,60,26,Paracetamol,Analgesics,349,12.17,Kenya,2024-07-16
104,41,7,Insulin,Diabetes,175,18.58,Uganda,2024-07-23
105,29,14,Paracetamol,Diabetes,76,3.91,Uganda,2024-08-01
106,15,15,Amoxicillin,Analgesics,101,11.28,Tanzania,2024-02-25
107,45,21,Paracetamol,Diabetes,414,12.33,Kenya,2024-10-13
108,65,7,Amoxicillin,Diabetes,151,5.7,Uganda,2024-10-19
109,89,9,Amoxicillin,Diabetes,400,3.33,Kenya,2024-06-23
110,71,19,Insulin,Analgesics,270,20.99,Tanzania,2024-12-12
111,9,16,Metformin,Antibiotics,458,12.81,Uganda,2024-05-07
112,88,8,Paracetamol,Antibiotics,71,0.85,Tanzania,2024-11-20
113,1,18,Amoxicillin,Analgesics,493,20.17,Kenya,2024-10-18
114,8,27,Paracetamol,Antibiotics,180,24.53,Tanzania,2024-10-14
115,88,23,Metformin,Diabetes,124,15.35,Tanzania,2024-08-13
116,63,29,Metformin,Antibiotics,381,12.84,Kenya,2024-03-04
117,11,18,Ceftriaxone,Diabetes,293,22.02,Tanzania,2024-02-17
118,81,30,Metformin,Antibiotics,285,23.84,Kenya,2024-07-20
119,8,20,Insulin,Analgesics,195,18.99,Uganda,2024-12-02
120,35,7,Amoxicillin,Antibiotics,399,11.41,Kenya,2024-02-29
121,35,3,Ceftriaxone,Antibiotics,228,15.01,Kenya,2024-09-13
122,33,18,Insulin,Antibiotics,431,17.67,Uganda,2024-03-05
123,5,27,Paracetamol,Analgesics,430,5.26,Kenya,2024-08-26
124,41,10,Amoxicillin,Antibiotics,436,11.46,Uganda,2024-10-15
125,28,7,Metformin,Analgesics,275,20.83,Uganda,2024-02-07
126,7,17,Amoxicillin,Diabetes,461,16.54,Kenya,2024-01-25
127,73,14,Paracetamol,Antibiotics,106,10.57,Tanzania,2024-02-28
128,72,24,Ceftriaxone,Analgesics,21,16.75,Tanzania,2024-12-22
129,12,3,Ceftriaxone,Analgesics,64,3.4,Uganda,2024-10-23
130,34,12,Ceftriaxone,Antibiotics,165,10.34,Tanzania,2024-06-06
131,33,28,Metformin,Diabetes,27,19.93,Tanzania,2024-02-26
132,48,13,Insulin,Analgesics,311,5.9,Kenya,2024-02-17
133,23,2,Insulin,Antibiotics,285,5.06,Uganda,2024-11-23
134,62,3,Amoxicillin,Diabetes,148,23.8,Uganda,2024-02-25
135,88,5,Metformin,Analgesics,281,5.64,Kenya,2024-03-05
136,37,11,Ceftriaxone,Analgesics,326,6.89,Tanzania,2024-09-24
137,99,8,Ceftriaxone,Diabetes,319,24.26,Uganda,2024-03-09
138,44,26,Paracetamol,Diabetes,164,18.5,Tanzania,2024-08-03
139,86,23,Paracetamol,Antibiotics,386,17.64,Uganda,2024-03-29
140,91,23,Ceftriaxone,Antibiotics,406,21.4,Uganda,2024-10-07
141,35,12,Ceftriaxone,Analgesics,224,3.34,Uganda,2024-09-13
142,65,7,Metformin,Diabetes,272,17.8,Uganda,2024-06-08
143,99,15,Insulin,Diabetes,146,12.84,Tanzania,2024-08-21
144,47,24,Paracetamol,Diabetes,453,20.81,Tanzania,2024-05-10
145,78,17,Insulin,Analgesics,438,12.95,Tanzania,2024-02-18
146,3,4,Metformin,Diabetes,356,15.7,Tanzania,2024-05-26
147,1,29,Ceftriaxone,Diabetes,30,12.2,Kenya,2024-11-11
148,5,22,Insulin,Analgesics,45,12.21,Uganda,2024-01-02
149,90,25,Ceftriaxone,Antibiotics,275,19.32,Uganda,2024-11-24
150,14,13,Ceftriaxone,Antibiotics,471,15.9,Uganda,2024-05-24
151,27,18,Amoxicillin,Analgesics,34,16.01,Kenya,2024-03-01
152,9,1,Insulin,Diabetes,141,11.53,Tanzania,2024-09-29
153,79,16,Insulin,Analgesics,427,13.51,Uganda,2024-02-18
154,15,13,Ceftriaxone,Antibiotics,318,18.77,Tanzania,2024-11-27
155,90,10,Metformin,Antibiotics,374,20.74,Tanzania,2024-05-10
156,42,12,Amoxicillin,Analgesics,221,17.57,Kenya,2024-02-12
157,77,30,Ceftriaxone,Analgesics,356,23.14,Kenya,2024-02-26
158,51,2,Paracetamol,Antibiotics,22,20.6,Tanzania,2024-02-19
159,63,23,Paracetamol,Analgesics,180,14.27,Uganda,2024-06-26
160,96,3,Amoxicillin,Antibiotics,436,16.95,Uganda,2024-10-19
161,52,10,Metformin,Analgesics,367,23.19,Kenya,2024-02-15
162,96,2,Ceftriaxone,Analgesics,420,15.67,Kenya,2024-06-18
163,4,30,Insulin,Analgesics,329,20.71,Kenya,2024-09-27
164,94,27,Amoxicillin,Antibiotics,231,17.38,Kenya,2024-12-01
165,23,23,Metformin,Analgesics,499,14.02,Kenya,2024-05-18
166,15,13,Insulin,Antibiotics,403,6.43,Kenya,2024-09-03
167,43,13,Paracetamol,Antibiotics,38,10.94,Kenya,2024-05-27
168,29,18,Paracetamol,Analgesics,70,24.21,Uganda,2024-08-17
169,36,3,Insulin,Analgesics,116,16.62,Kenya,2024-10-06
170,13,27,Amoxicillin,Antibiotics,239,14.33,Kenya,2024-05-04
171,32,7,Paracetamol,Antibiotics,335,23.36,Uganda,2024-07-10
172,71,14,Ceftriaxone,Diabetes,441,14.87,Uganda,2024-03-20
173,59,20,Insulin,Antibiotics,148,13.39,Tanzania,2024-04-03
174,86,29,Insulin,Diabetes,9,19.1,Kenya,2024-08-13
175,28,30,Paracetamol,Diabetes,288,17.96,Kenya,2024-03-05
176,66,17,Amoxicillin,Diabetes,388,5.23,Kenya,2024-03-28
177,42,29,Ceftriaxone,Analgesics,50,12.05,Kenya,2024-03-28
178,45,30,Amoxicillin,Analgesics,338,12.08,Tanzania,2024-07-19
179,62,21,Metformin,Antibiotics,5,9.77,Uganda,2024-08-01
180,57,12,Metformin,Diabetes,404,13.17,Uganda,2024-07-22
181,6,25,Paracetamol,Analgesics,343,10.62,Kenya,2024-03-29
182,28,16,Paracetamol,Analgesics,126,5.38,Kenya,2024-03-01
183,28,24,Paracetamol,Analgesics,75,10.6,Kenya,2024-09-27
184,44,12,Metformin,Analgesics,165,2.27,Tanzania,2024-04-03
185,84,15,Amoxicillin,Analgesics,278,14.61,Tanzania,2024-11-02
186,30,25,Amoxicillin,Diabetes,442,21.41,Uganda,2024-01-27
187,62,10,Paracetamol,Diabetes,324,18.27,Kenya,2024-08-01
188,75,30,Ceftriaxone,Diabetes,477,9.33,Kenya,2024-03-14
189,92,25,Amoxicillin,Diabetes,300,2.63,Kenya,2024-03-01
190,89,7,Metformin,Antibiotics,290,5.45,Kenya,2024-07-04
191,62,20,Insulin,Diabetes,77,13.86,Tanzania,2024-01-31
192,97,5,Insulin,Analgesics,298,5.57,Uganda,2024-08-06
193,1,1,Insulin,Diabetes,137,13.83,Uganda,2024-01-12
194,27,30,Ceftriaxone,Antibiotics,106,6.17,Tanzania,2024-10-28
195,62,17,Paracetamol,Analgesics,95,21.3,Kenya,2024-02-01
196,77,3,Metformin,Diabetes,135,10.23,Uganda,2024-06-08
197,3,13,Ceftriaxone,Diabetes,68,6.52,Uganda,2024-08-24
198,70,14,Metformin,Diabetes,147,20.4,Tanzania,2024-08-14
199,72,24,Metformin,Analgesics,490,8.9,Kenya,2024-06-29
200,27,30,Paracetamol,Analgesics,478,3.23,Uganda,2024-11-12
201,9,18,Insulin,Antibiotics,159,14.48,Kenya,2024-02-15
202,62,4,Paracetamol,Analgesics,384,14.75,Uganda,2024-12-06
203,37,18,Ceftriaxone,Analgesics,163,18.01,Tanzania,2024-03-20
204,97,30,Ceftriaxone,Diabetes,441,6.39,Kenya,2024-05-14
205,51,5,Ceftriaxone,Analgesics,341,11.37,Tanzania,2024-09-16
206,44,25,Paracetamol,Diabetes,189,7.42,Uganda,2024-11-03
207,24,16,Metformin,Diabetes,415,2.48,Tanzania,2024-09-03
208,79,1,Metformin,Analgesics,339,21.98,Tanzania,2024-06-07
209,59,21,Amoxicillin,Antibiotics,95,18.36,Tanzania,2024-07-21
210,32,14,Ceftriaxone,Antibiotics,181,7.89,Uganda,2024-04-21
211,96,15,Metformin,Analgesics,288,15.18,Kenya,2024-10-18
212,88,9,Amoxicillin,Antibiotics,322,5.43,Tanzania,2024-11-05
213,52,15,Metformin,Diabetes,187,22.31,Kenya,2024-04-28
214,62,17,Ceftriaxone,Diabetes,372,3.32,Uganda,2024-01-17
215,58,25,Insulin,Analgesics,138,0.59,Kenya,2024-11-26
216,52,24,Ceftriaxone,Antibiotics,130,12.8,Tanzania,2024-08-14
217,12,4,Paracetamol,Antibiotics,194,14.79,Tanzania,2024-12-26
218,39,12,Metformin,Diabetes,316,14.68,Tanzania,2024-04-26
219,2,27,Metformin,Analgesics,472,1.84,Tanzania,2024-02-12
220,3,26,Paracetamol,Antibiotics,273,8.19,Tanzania,2024-04-24
221,56,5,Paracetamol,Analgesics,352,12.73,Tanzania,2024-10-09
222,81,29,Insulin,Antibiotics,144,5.81,Uganda,2024-02-06
223,59,5,Metformin,Diabetes,16,21.88,Uganda,2024-10-28
224,2,11,Metformin,Diabetes,302,2.63,Uganda,2024-04-22
225,2,28,Insulin,Analgesics,423,12.44,Kenya,2024-02-04
226,92,6,Amoxicillin,Diabetes,245,17.44,Kenya,2024-05-11
227,54,7,Insulin,Antibiotics,415,6.91,Uganda,2024-12-01
228,87,24,Ceftriaxone,Diabetes,107,15.79,Kenya,2024-12-01
229,96,14,Metformin,Analgesics,88,20.82,Kenya,2024-08-15
230,97,24,Paracetamol,Analgesics,129,5.16,Tanzania,2024-05-26
231,1,11,Ceftriaxone,Analgesics,395,22.97,Tanzania,2024-05-01
232,19,30,Metformin,Antibiotics,375,14.06,Kenya,2024-03-21
233,2,13,Insulin,Antibiotics,341,7.83,Kenya,2024-06-21
234,53,2,Ceftriaxone,Antibiotics,4,11.06,Uganda,2024-06-02
235,44,25,Metformin,Antibiotics,327,8.15,Kenya,2024-05-29
236,90,7,Amoxicillin,Antibiotics,410,18.27,Tanzania,2024-02-27
237,32,20,Amoxicillin,Diabetes,367,20.01,Kenya,2024-03-03
238,70,4,Paracetamol,Antibiotics,306,20.91,Uganda,2024-06-04
239,32,27,Metformin,Antibiotics,396,24.65,Tanzania,2024-12-21
240,68,8,Amoxicillin,Diabetes,95,19.89,Tanzania,2024-11-17
241,55,20,Insulin,Antibiotics,209,15.23,Tanzania,2024-06-16
242,75,29,Metformin,Analgesics,225,8.81,Tanzania,2024-06-14
243,56,22,Insulin,Antibiotics,459,13.84,Kenya,2024-03-25
244,17,21,Insulin,Antibiotics,348,1.51,Uganda,2024-05-16
245,38,19,Amoxicillin,Analgesics,480,18.75,Kenya,2024-07-07
246,24,13,Metformin,Analgesics,321,11.43,Kenya,2024-01-02
247,69,14,Ceftriaxone,Analgesics,47,0.99,Tanzania,2024-04-15
248,98,10,Amoxicillin,Analgesics,476,2.03,Uganda,2024-12-29
249,70,11,Amoxicillin,Antibiotics,181,9.99,Tanzania,2024-03-12
250,86,2,Metformin,Analgesics,106,14.79,Kenya,2024-05-05
251,11,25,Metformin,Analgesics,199,11.87,Kenya,2024-06-18
252,16,26,Insulin,Diabetes,386,15.67,Tanzania,2024-07-23
253,97,9,Metformin,Analgesics,106,12.27,Kenya,2024-11-08
254,73,17,Insulin,Analgesics,280,16.71,Kenya,2024-12-02
255,59,26,Amoxicillin,Diabetes,260,5.87,Tanzania,2024-07-13
256,70,3,Paracetamol,Diabetes,108,3.26,Kenya,2024-06-06
257,80,24,Ceftriaxone,Antibiotics,19,15.11,Uganda,2024-05-20
258,93,6,Amoxicillin,Diabetes,410,12.37,Tanzania,2024-10-01
259,3,5,Metformin,Antibiotics,459,1.16,Uganda,2024-01-07
260,20,5,Ceftriaxone,Diabetes,296,9.82,Kenya,2024-02-23
261,59,22,Paracetamol,Diabetes,306,3.1,Kenya,2024-04-13
262,36,15,Paracetamol,Antibiotics,171,13.52,Tanzania,2024-12-07
263,19,23,Insulin,Diabetes,331,10.2,Kenya,2024-12-03
264,90,17,Ceftriaxone,Antibiotics,493,15.52,Tanzania,2024-03-01
265,67,9,Insulin,Diabetes,195,20.24,Tanzania,2024-03-27
266,19,3,Amoxicillin,Analgesics,12,7.84,Tanzania,2024-09-14
267,20,20,Ceftriaxone,Diabetes,195,24.07,Tanzania,2024-06-26
268,96,26,Amoxicillin,Antibiotics,490,13.62,Tanzania,2024-08-29
269,71,17,Insulin,Diabetes,283,15.65,Uganda,2024-07-21
270,52,29,Ceftriaxone,Antibiotics,369,17.18,Tanzania,2024-01-31
271,33,27,Insulin,Antibiotics,182,16.83,Uganda,2024-10-15
272,40,10,Ceftriaxone,Analgesics,450,13.02,Kenya,2024-03-20
273,39,3,Insulin,Analgesics,305,11.0,Tanzania,2024-01-11
274,82,18,Paracetamol,Antibiotics,144,1.82,Kenya,2024-09-10
275,1,18,Insulin,Diabetes,386,1.04,Tanzania,2024-10-13
276,11,30,Paracetamol,Antibiotics,316,9.27,Uganda,2024-06-24
277,92,17,Insulin,Antibiotics,182,8.67,Uganda,2024-05-05
278,57,24,Ceftriaxone,Diabetes,30,10.0,Uganda,2024-02-16
279,89,3,Ceftriaxone,Diabetes,84,3.89,Kenya,2024-07-24
280,50,3,Ceftriaxone,Diabetes,166,18.59,Tanzania,2024-04-16
281,23,6,Metformin,Diabetes,284,21.5,Kenya,2024-10-01
282,31,13,Amoxicillin,Antibiotics,281,23.5,Uganda,2024-12-02
283,94,24,Ceftriaxone,Antibiotics,96,12.56,Kenya,2024-05-02
284,42,29,Paracetamol,Analgesics,381,17.67,Uganda,2024-05-13
285,99,15,Ceftriaxone,Antibiotics,266,21.46,Uganda,2024-04-16
286,7,25,Metformin,Diabetes,444,10.75,Uganda,2024-10-31
287,16,9,Paracetamol,Analgesics,298,8.08,Tanzania,2024-11-24
288,90,4,Metformin,Diabetes,296,23.45,Tanzania,2024-02-19
289,60,14,Paracetamol,Antibiotics,225,13.13,Uganda,2024-12-02
290,2,5,Insulin,Analgesics,333,12.68,Kenya,2024-04-04
291,1,2,Amoxicillin,Diabetes,361,4.87,Kenya,2024-09-24
292,48,11,Amoxicillin,Analgesics,374,3.15,Tanzania,2024-01-23
293,12,9,Metformin,Analgesics,42,21.13,Uganda,2024-02-23
294,69,24,Amoxicillin,Antibiotics,303,15.55,Kenya,2024-09-10
295,37,3,Metformin,Diabetes,421,8.48,Uganda,2024-08-22
296,32,27,Metformin,Analgesics,246,5.2,Kenya,2024-02-28
297,9,28,Metformin,Analgesics,208,14.11,Tanzania,2024-06-12
298,99,29,Amoxicillin,Diabetes,237,14.81,Uganda,2024-09-15
299,19,9,Metformin,Analgesics,22,5.57,Uganda,2024-11-09
300,48,3,Amoxicillin,Analgesics,185,21.36,Kenya,2024-08-03
301,80,25,Metformin,Analgesics,468,2.56,Kenya,2024-07-01
302,3,2,Ceftriaxone,Diabetes,242,9.22,Kenya,2024-02-26
303,20,12,Metformin,Diabetes,363,17.17,Uganda,2024-05-24
304,24,10,Paracetamol,Diabetes,283,7.22,Tanzania,2024-03-30
305,54,9,Metformin,Diabetes,41,20.78,Tanzania,2024-11-06
306,33,15,Insulin,Antibiotics,336,18.63,Kenya,2024-02-14
307,24,8,Metformin,Analgesics,162,19.83,Tanzania,2024-09-13
308,75,25,Paracetamol,Diabetes,160,3.42,Kenya,2024-01-21
309,72,5,Paracetamol,Analgesics,474,3.94,Tanzania,2024-01-21
310,36,11,Amoxicillin,Analgesics,89,7.52,Uganda,2024-02-21
311,38,27,Ceftriaxone,Antibiotics,322,13.19,Kenya,2024-12-03
312,84,2,Metformin,Diabetes,12,18.83,Tanzania,2024-06-19
313,99,24,Amoxicillin,Diabetes,424,21.0,Uganda,2024-03-07
314,89,28,Ceftriaxone,Analgesics,73,17.76,Tanzania,2024-04-22
315,99,15,Metformin,Diabetes,76,23.25,Uganda,2024-10-26
316,25,6,Insulin,Analgesics,346,18.6,Uganda,2024-06-08
317,93,8,Metformin,Analgesics,201,8.0,Tanzania,2024-09-22
318,18,27,Paracetamol,Antibiotics,10,6.99,Tanzania,2024-11-15
319,82,5,Paracetamol,Antibiotics,352,17.56,Uganda,2024-08-19
320,66,16,Insulin,Antibiotics,226,5.23,Uganda,2024-11-20
321,54,26,Amoxicillin,Analgesics,176,2.77,Uganda,2024-03-08
322,35,18,Ceftriaxone,Diabetes,276,13.54,Kenya,2024-01-28
323,80,6,Metformin,Antibiotics,39,20.63,Uganda,2024-04-25
324,61,5,Paracetamol,Diabetes,60,2.98,Kenya,2024-02-20
325,41,28,Amoxicillin,Antibiotics,66,19.9,Uganda,2024-06-29
326,100,16,Insulin,Antibiotics,321,20.38,Kenya,2024-09-16
327,33,13,Paracetamol,Analgesics,435,12.32,Uganda,2024-03-19
328,68,28,Insulin,Antibiotics,124,1.9,Uganda,2024-09-29
329,33,5,Metformin,Antibiotics,164,4.78,Uganda,2024-04-17
330,14,13,Ceftriaxone,Analgesics,408,17.83,Tanzania,2024-03-14
331,21,17,Paracetamol,Diabetes,411,17.94,Tanzania,2024-06-23
332,48,18,Paracetamol,Antibiotics,386,22.51,Uganda,2024-07-02
333,20,8,Metformin,Analgesics,159,14.78,Kenya,2024-01-23
334,8,13,Amoxicillin,Antibiotics,57,3.54,Kenya,2024-09-30
335,7,30,Ceftriaxone,Analgesics,78,3.47,Uganda,2024-05-08
336,67,29,Paracetamol,Diabetes,194,18.17,Tanzania,2024-10-17
337,17,19,Ceftriaxone,Diabetes,285,5.0,Kenya,2024-11-15
338,33,26,Paracetamol,Analgesics,15,8.55,Tanzania,2024-07-04
339,48,3,Ceftriaxone,Analgesics,12,12.44,Kenya,2024-02-28
340,76,24,Insulin,Analgesics,101,1.11,Uganda,2024-01-01
341,59,8,Paracetamol,Diabetes,156,6.6,Tanzania,2024-05-10
342,86,2,Ceftriaxone,Antibiotics,340,10.49,Kenya,2024-03-07
343,22,8,Amoxicillin,Diabetes,125,7.35,Uganda,2024-10-19
344,30,27,Insulin,Analgesics,359,3.84,Uganda,2024-10-11
345,38,13,Insulin,Analgesics,280,18.34,Uganda,2024-03-29
346,51,13,Amoxicillin,Diabetes,405,20.42,Tanzania,2024-04-09
347,54,1,Ceftriaxone,Analgesics,394,6.81,Tanzania,2024-07-07
348,8,6,Metformin,Diabetes,110,19.47,Uganda,2024-12-11
349,27,24,Amoxicillin,Analgesics,334,9.95,Tanzania,2024-08-28
350,27,19,Ceftriaxone,Antibiotics,357,12.91,Kenya,2024-09-26
351,98,16,Amoxicillin,Antibiotics,146,21.47,Uganda,2024-08-06
352,21,8,Amoxicillin,Analgesics,216,18.87,Uganda,2024-06-24
353,30,28,Paracetamol,Diabetes,398,20.23,Tanzania,2024-12-06
354,97,1,Ceftriaxone,Antibiotics,162,3.85,Uganda,2024-08-20
355,28,27,Metformin,Diabetes,128,2.21,Kenya,2024-05-30
356,64,27,Paracetamol,Analgesics,314,22.39,Tanzania,2024-10-03
357,97,16,Amoxicillin,Diabetes,332,10.0,Tanzania,2024-08-16
358,69,9,Amoxicillin,Antibiotics,150,7.55,Uganda,2024-06-19
359,61,13,Amoxicillin,Diabetes,454,18.26,Uganda,2024-08-10
360,48,11,Ceftriaxone,Diabetes,36,20.99,Uganda,2024-07-31
361,19,13,Ceftriaxone,Analgesics,173,21.63,Tanzania,2024-10-08
362,4,25,Paracetamol,Analgesics,420,8.24,Uganda,2024-02-10
363,35,21,Metformin,Analgesics,22,21.38,Kenya,2024-05-01
364,64,10,Paracetamol,Antibiotics,206,1.5,Uganda,2024-08-14
365,49,4,Insulin,Antibiotics,127,1.72,Uganda,2024-10-20
366,17,27,Amoxicillin,Analgesics,336,15.78,Tanzania,2024-03-28
367,44,6,Amoxicillin,Analgesics,445,2.05,Uganda,2024-09-23
368,92,28,Amoxicillin,Antibiotics,356,8.45,Tanzania,2024-01-29
369,30,7,Paracetamol,Antibiotics,440,16.98,Uganda,2024-09-03
370,93,5,Paracetamol,Antibiotics,217,8.76,Kenya,2024-11-11
